ID     IAUNAME     M2    Teffwd
2601     SDSSJ083049.15+140244.6     0.149    11173
2928     SDSSJ132454.06+660250.0     0.255    11173
3008     SDSSJ143525.54+330027.3     0.196    11173
3141     SDSSJ165432.31+470954.9     0.12    11173
3277     SDSSJ235311.42+355937.7     0.196    11173
53     SDSSJ004232.86+005628.9     0.38    11302
97     SDSSJ012332.85+403906.3     0.38    11302
350     SDSSJ080235.69+525736.3     0.255    11302
1187     SDSSJ150954.39+243449.3     0.255    11302
1617     SDSSJ023818.61+284413.9     0.431    11302
2137     SDSSJ111710.54-125540.9     0.38    11302
2277     SDSSJ095458.28+504517.9     0.255    11302
2320     SDSSJ000957.20-013341.4     0.319    11302
2484     SDSSJ073104.56+421550.1     0.319    11302
2644     SDSSJ084612.01+480400.5     0.319    11302
2709     SDSSJ094259.54+015637.6     0.149    11302
2710     SDSSJ094323.28+154316.1     0.38    11302
2790     SDSSJ105338.12+340333.3     0.12    11302
2858     SDSSJ115602.84+491331.3     0.319    11302
2860     SDSSJ115931.50+464044.3     0.319    11302
2887     SDSSJ123516.04+092602.3     0.149    11302
2556     SDSSJ080836.91+535715.7     0.255    11368
71     SDSSJ010010.53+003739.1     0.431    11433
190     SDSSJ024645.89-010624.1     0.38    11433
416     SDSSJ082429.02+172345.4     0.38    11433
488     SDSSJ084909.67+435045.1     0.196    11433
590     SDSSJ092601.73+214530.0     0.196    11433
860     SDSSJ112722.00+424933.5     0.255    11433
1085     SDSSJ134725.83+084858.2     0.38    11433
1149     SDSSJ143826.04+421111.5     0.196    11433
1230     SDSSJ153851.82+380741.6     0.196    11433
1251     SDSSJ154846.00+405728.8     0.196    11433
1745     SDSSJ105436.18+100837.3     0.319    11433
2044     SDSSJ072130.60+374228.3     0.319    11433
2570     SDSSJ081237.55+483832.0     0.255    11433
2816     SDSSJ111249.32-003814.9     0.319    11433
2854     SDSSJ115331.29+560706.7     0.149    11433
2911     SDSSJ130051.63+234525.7     0.149    11433
3062     SDSSJ152743.79+490232.4     0.255    11433
3119     SDSSJ163114.31+255042.0     0.149    11433
227     SDSSJ031206.82-002145.4     0.319    11565
390     SDSSJ081502.81+411710.4     0.255    11565
462     SDSSJ083920.48+125959.5     0.118    11565
477     SDSSJ084405.94+094122.3     0.319    11565
508     SDSSJ085612.41+143756.8     0.38    11565
976     SDSSJ123522.26+061854.1     0.196    11565
1058     SDSSJ132933.67+255743.2     0.431    11565
1171     SDSSJ145611.68+592138.3     0.464    11565
1219     SDSSJ152952.53+550954.3     0.255    11565
1224     SDSSJ153329.88+033301.6     0.431    11565
1306     SDSSJ161528.31+051012.7     0.255    11565
1601     SDSSJ235354.14-000307.3     0.464    11565
1610     SDSSJ011355.84-093938.0     0.319    11565
1618     SDSSJ024329.52+283123.5     0.464    11565
1709     SDSSJ091333.06+124429.7     0.38    11565
2206     SDSSJ145305.77+001048.2     0.319    11565
2255     SDSSJ033828.59+010823.3     0.196    11565
2383     SDSSJ011530.39+273459.6     0.319    11565
2519     SDSSJ075403.19+483019.1     0.38    11565
2526     SDSSJ075802.81+242347.1     0.149    11565
2774     SDSSJ103904.62+141801.5     0.149    11565
3035     SDSSJ150210.76+475454.6     0.149    11565
3050     SDSSJ151548.91+331126.2     0.255    11565
3124     SDSSJ163428.36+103903.1     0.38    11565
2805     SDSSJ110640.36+145110.4     0.196    11566
2323     SDSSJ001331.01+120311.7     0.171    11642
140     SDSSJ020611.97-004939.2     0.319    11699
263     SDSSJ034237.97+010858.5     0.38    11699
486     SDSSJ084852.36+050135.6     0.38    11699
644     SDSSJ094700.62+181954.5     0.431    11699
789     SDSSJ105038.62+413834.5     0.196    11699
874     SDSSJ113655.17+040952.6     0.196    11699
1419     SDSSJ203954.88+771700.6     0.255    11699
1444     SDSSJ210624.12+004030.2     0.464    11699
1629     SDSSJ044542.27+120246.7     0.255    11699
2430     SDSSJ015405.71+223729.0     0.196    11699
2433     SDSSJ015731.20+083536.8     0.255    11699
2995     SDSSJ142605.67-014910.0     0.255    11699
3024     SDSSJ145214.26+602517.1     0.255    11699
3043     SDSSJ150733.84+095039.9     0.196    11699
3269     SDSSJ234259.03+353511.3     0.255    11699
151     SDSSJ021309.19-005025.4     0.38    11734
2139     SDSSJ111920.11-104810.6     0.431    11759
434     SDSSJ083001.52+054932.8     0.431    11767
95     SDSSJ012053.21+382356.6     0.38    11835
96     SDSSJ012259.52+154253.8     0.255    11835
115     SDSSJ013801.04+230329.3     0.149    11835
208     SDSSJ025814.37+063849.9     0.255    11835
348     SDSSJ080144.38+221650.1     0.38    11835
556     SDSSJ091712.17+215426.0     0.319    11835
716     SDSSJ101501.07+185006.3     0.319    11835
893     SDSSJ114556.35+384127.8     0.149    11835
1037     SDSSJ131826.41+503357.6     0.196    11835
1063     SDSSJ133359.97+105453.0     0.431    11835
1453     SDSSJ211820.20+010225.0     0.196    11835
1578     SDSSJ234158.23-094716.6     0.38    11835
1649     SDSSJ064324.93+384942.9     0.38    11835
2319     SDSSJ000756.03+055723.4     0.319    11835
2490     SDSSJ073604.16+423436.4     0.431    11835
2533     SDSSJ080042.31+224915.0     0.255    11835
2819     SDSSJ111538.65+440653.9     0.149    11835
3204     SDSSJ222253.29+060411.4     0.196    11835
3285     SDSSJ235922.02+194737.8     0.196    11835
952     SDSSJ122339.61-005631.1     0.225    11908
100     SDSSJ012403.11-002301.1     0.431    11972
448     SDSSJ083357.02+052901.1     0.255    11972
676     SDSSJ100010.06+265621.3     0.118    11972
683     SDSSJ100131.18+320323.3     0.319    11972
1065     SDSSJ133608.59+150143.1     0.196    11972
1253     SDSSJ154928.56+385419.3     0.431    11972
1406     SDSSJ173314.15+604735.6     0.255    11972
1449     SDSSJ211132.76+011522.2     0.431    11972
1472     SDSSJ215232.21+001447.4     0.319    11972
1870     SDSSJ150605.75+265457.4     0.255    11972
2247     SDSSJ234106.82+083550.3     0.319    11972
2679     SDSSJ091422.96+372413.3     0.196    11972
2754     SDSSJ101523.47+350410.9     0.12    11972
3193     SDSSJ220913.22+113443.6     0.255    11972
667     SDSSJ095723.83+020734.4     0.319    11978
2210     SDSSJ152033.43+063442.9     0.35    11992
111     SDSSJ013441.30-092212.7     0.431    12110
257     SDSSJ033649.87-061507.0     0.319    12110
385     SDSSJ081355.47+452623.0     0.431    12110
404     SDSSJ081936.74+352916.4     0.38    12110
439     SDSSJ083102.02+285741.9     0.255    12110
