# telescope   = tel06
# season      = 2011-2022
# filter      = RG715
# aperture    = 8.000                pix
# deblend     = 0
# lspmname    = J1709+4340
# nltt        = 44290
# hip         = 83945
# ascc        = 416422
# twomass     = 17093153+4340531
# usnob       = 1336-0280975
# ra          = 17:09:31.552         hr
# dec         = +43:40:52.99         deg
# pmra        = 0.331                arcsec/yr
# pmdec       = -0.274               arcsec/yr
# aflag       = S 
# plx         = 0.134597082936454    arcsec
# e_plx       = 0.000489399205367269 arcsec
# r_plx       = 2018A&A...616A...1G
# distmod     = -0.645178238580593   mag
# s_distmod   = T
# bjmag       = 13.7                 mag
# rfmag       = 10.7                 mag
# jmag        = 7.38                 mag
# e_jmag      = 0.019                mag
# q_jmag      = A
# hmag        = 6.757                mag
# e_hmag      = 0.016                mag
# q_hmag      = E
# kmag        = 6.485                mag
# e_kmag      = 0.016                mag
# q_kmag      = A
# vest        = 11.78                mag
# s_vest      = A
# vmjest      = 4.4                  mag
# vmag        = 11.77                mag
# rcmag       = 10.5601              mag
# icmag       = 8.97656              mag
# r_vrimag    = 1984ApJS...55..289W
# spectype    = M3.5
# r_spectype  = 1994AJ....108.1437H
# mass        = 0.285519234786466    Msol
# radius      = 0.302209515191391    Rsol
# null_dc[1]  = 0.000131             mag
# null_dc[2]  = 0.001156             mag
# null_cm     = 0.592843             mag/mag
# null_fwhm_k = -0.002568            mag/pix
# null_fwhm_0 = 2.747000             pix
# null_chidof = 4.238
# null_nfit   = 6807
# null_nparm  = 4
#
#BJD           Mag         e_Mag       tExp    DMag    FWHM   Ellip Airmass X         Y         Angle   Sky      Peak  S  V  R F CM        Corr_Mag   
#------------- ----------- ----------- ------- ------- ------ ----- ------- --------- --------- ------- -------- ----- -- -- - - --------- -----------
2459218.023490   -0.010740    0.012706   2.414  0.0294  2.517 0.042 1.95749  1024.283  1021.477  179.75    16.19 10982  2 13 0 0  0.000545   -0.012810
2459218.023876    0.000061    0.010310   2.414  0.0384  2.553 0.076 1.95197  1023.879  1020.865  179.74    16.40 12506  2 13 0 0  0.000586   -0.001941
2459218.024262   -0.022036    0.008584   2.414  0.0347  2.486 0.056 1.94647  1023.558  1025.271  179.74    16.48 12215  2 13 0 0  0.000627   -0.024234
2459218.024645   -0.015429    0.011184   2.414  0.0348  2.672 0.038 1.94106  1024.267  1025.069  179.74    16.79 12244  2 13 0 0  0.000668   -0.017173
2459218.025029   -0.015467    0.009881   2.414  0.0464  2.663 0.056 1.93567  1023.624  1024.120  179.75    16.70 11673  2 13 0 0  0.000709   -0.017259
2459218.042747    0.002642    0.007015   2.414  0.0233  2.622 0.060 1.71880  1022.802  1025.258  179.75    16.64 12248  2 13 0 0  0.002112   -0.000087
2459218.043137    0.024195    0.009069   2.414  0.0195  2.704 0.031 1.71466  1023.031  1025.403  179.75    16.72  9773  2 13 0 0  0.002104    0.021681
2459218.043510    0.010063    0.008912   2.414  0.0292  2.461 0.051 1.71071  1022.308  1026.658  179.75    16.82 10269  2 13 0 0  0.002096    0.006930
2459218.043875    0.004440    0.009433   2.414  0.0148  2.706 0.069 1.70686  1023.151  1025.005  179.74    16.79 11274  2 13 0 0  0.002089    0.001941
2459218.044250    0.009741    0.007303   2.414  0.0099  2.859 0.062 1.70294  1023.794  1023.128  179.74    16.95  9749  2 13 0 0  0.002081    0.007639
2459218.044631    0.002768    0.008709   2.414  0.0121  2.716 0.089 1.69898  1024.929  1023.625  179.75    16.94 11506  2 13 0 0  0.002073    0.000303
2459219.019675    0.014395    0.008565   2.414  0.0298  2.399 0.043 1.97356  1022.426  1022.852  179.75    16.13 12809  2 13 0 0  0.002840    0.010661
2459219.020054    0.002626    0.008819   2.414  0.0442  2.333 0.076 1.96805  1023.927  1022.463  179.74    16.28 14220  2 13 0 0  0.002861   -0.001289
2459219.020435   -0.009480    0.009223   2.414  0.0399  2.752 0.065 1.96252  1024.395  1024.213  179.74    16.55  9709  2 13 0 0  0.002883   -0.012331
2459219.020817   -0.004999    0.008223   2.414  0.0537  2.454 0.077 1.95702  1024.262  1023.143  179.75    16.84 13028  2 13 0 0  0.002904   -0.008629
2459219.021198    0.003298    0.009278   2.414  0.0341  2.509 0.038 1.95157  1024.576  1023.763  179.74    16.96 11835  2 13 0 0  0.002925   -0.000204
2459219.021579   -0.016823    0.008640   2.414  0.0240  2.562 0.025 1.94615  1024.385  1023.593  179.74    17.10 11458  2 13 0 0  0.002947   -0.020201
2459219.037755   -0.017929    0.007463   2.414  0.0270  2.386 0.043 1.74362  1023.063  1023.368  179.75    18.21 14862  2 13 0 0  0.003853   -0.022296
2459219.038141   -0.009125    0.007526   2.414  0.0288  2.661 0.067 1.73936  1023.231  1023.449  179.75    18.40 11726  2 13 0 0  0.003874   -0.012798
2459219.038523   -0.011698    0.007143   2.414  0.0129  2.383 0.140 1.73518  1024.115  1023.790  179.74    18.47 13058  2 13 0 0  0.003896   -0.016098
2459219.038905   -0.010218    0.007719   2.414  0.0228  2.904 0.106 1.73103  1023.703  1025.064  179.75    18.54 10427  2 13 0 0  0.003917   -0.013292
2459219.039284   -0.026434    0.008496   2.414  0.0205  2.507 0.090 1.72693  1023.853  1022.269  179.75    18.59 11964  2 13 0 0  0.003926   -0.030534
2459219.039667   -0.007185    0.008040   2.414  0.0221  2.610 0.066 1.72281  1023.409  1023.386  179.75    18.67 11251  2 13 0 0  0.003932   -0.011024
2459219.054728   -0.010719    0.007080   2.414  0.0174  2.559 0.053 1.57765  1022.706  1022.200  179.75    26.17 12997  2 13 0 0  0.004196   -0.014846
2459219.055122   -0.000193    0.007731   2.414  0.0061  2.398 0.089 1.57425  1023.436  1024.009  179.75    27.78 12601  2 13 0 0  0.004203   -0.004736
2459219.055511   -0.015820    0.006957   2.414  0.0069  2.650 0.162 1.57092  1024.099  1023.717  179.75    29.35 12054  2 13 0 0  0.004210   -0.019720
2459219.055898   -0.018257    0.006262   2.414 -0.0019  2.385 0.064 1.56762  1024.701  1025.792  179.75    31.05 14242  2 13 0 0  0.004216   -0.022842
2459219.056279   -0.003630    0.006208   2.414  0.0091  2.388 0.124 1.56439  1025.432  1024.995  179.75    32.95 12606  2 13 0 0  0.004223   -0.008211
2459219.056657   -0.013765    0.007943   2.414  0.0099  2.347 0.095 1.56120  1025.093  1022.490  179.75    35.00 14683  2 13 0 0  0.004230   -0.018456
2459221.015125   -0.033073    0.009909   2.414  0.0295  4.266 0.112 1.96108  1024.142  1039.295  179.75    18.84  4883  2 13 0 0 -0.005494   -0.027071
2459221.015511   -0.029222    0.012092   2.414  0.0289  5.028 0.111 1.95553  1022.441  1020.989  179.73    18.52  2545  2 13 0 0 -0.005489   -0.021266
2459221.015889   -0.038317    0.008320   2.414  0.0466  3.974 0.143 1.95014  1023.989  1025.104  179.75    18.37  5720  2 13 0 0 -0.005484   -0.033070
2459221.016270   -0.092426    0.008196   2.414  0.0348  3.991 0.164 1.94473  1024.876  1014.757  179.75    18.28  3584  2 13 0 0 -0.005478   -0.087139
2459221.016641   -0.009413    0.008161   2.414  0.0525  3.361 0.113 1.93949  1024.516  1033.544  179.74    18.26  7401  2 13 0 0 -0.005473   -0.005747
2459221.017023    0.005695    0.009987   2.414  0.0666  3.753 0.233 1.93413  1025.117  1024.391  179.74    18.07  4732  2 13 0 0 -0.005468    0.010365
2459221.036578   -0.028776    0.008558   2.414  0.0367  3.985 0.229 1.69833  1024.175  1025.519  179.75    15.85  7043  2 13 0 0 -0.005335   -0.023590
2459221.036955   -0.007532    0.007190   2.414  0.0419  3.342 0.042 1.69443  1023.542  1026.840  179.75    15.86  7789  2 13 0 0 -0.005332   -0.003999
2459221.037341   -0.032352    0.006806   2.414  0.0105  3.858 0.130 1.69046  1023.631  1023.257  179.76    15.82  6254  2 13 0 0 -0.005330   -0.027495
2459221.037713   -0.020708    0.006910   2.414  0.0325  3.854 0.147 1.68666  1023.619  1021.737  179.76    15.87  5808  2 13 0 0 -0.005328   -0.015862
2459221.038093   -0.013098    0.008156   2.414  0.0205  3.592 0.106 1.68279  1023.506  1025.571  179.75    15.99  5441  2 13 0 0 -0.005326   -0.008926
2459221.038475   -0.033579    0.008335   2.414 -0.0381  4.578 0.226 1.67893  1023.547  1023.706  179.75    15.85  3844  2 13 0 0 -0.005323   -0.026876
2459221.060907    0.005114    0.007310   2.414  0.0398  3.958 0.104 1.48513  1022.107  1023.515  179.76    41.57  4468  2 13 0 0 -0.005795    0.010504
2459221.061287   -0.007868    0.008203   2.414  0.0172  4.108 0.056 1.48234  1020.390  1023.945  179.76    44.43  5844  2 13 0 0 -0.005794   -0.002093
2459221.061688   -0.042265    0.007613   2.414  0.0242  2.857 0.070 1.47941  1021.020  1026.480  179.75    47.62 11203  2 13 0 0 -0.005793   -0.039704
2459221.062075   -0.015661    0.005920   2.414  0.0103  3.250 0.121 1.47660  1022.111  1022.158  179.75    51.44  9165  2 13 0 0 -0.005792   -0.012092
2459221.062465   -0.006075    0.008614   2.414  0.0081  3.012 0.090 1.47378  1021.004  1024.417  179.75    55.89  9039  2 13 0 0 -0.005791   -0.003117
2459221.062863   -0.007395    0.008069   2.414  0.0199  3.023 0.086 1.47091  1020.013  1024.386  179.75    60.47 10049  2 13 0 0 -0.005790   -0.004409
2459225.006971   -0.005384    0.009848   2.414  0.0565  3.041 0.056 1.92353  1023.966  1024.143  179.73    25.86  8760  2 13 0 0 -0.000616   -0.005420
2459225.007328   -0.006002    0.009121   2.414  0.0492  3.081 0.027 1.91862  1023.658  1021.969  179.74    25.80  9152  2 13 0 0 -0.000597   -0.005946
2459225.007701   -0.057583    0.009386   2.414  0.0641  3.177 0.037 1.91351  1024.178  1022.584  179.73    25.78  8196  2 13 0 0 -0.000578   -0.057292
